frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
194,5.549789,126,0.0,0.0008541855089940764,False
195,5.566744,73,0.43420187793427234,0.789222210547208,True
196,5.583333,106,0.0,0.0010538536101530882,False
197,5.600067,90,0.0,0.0010718297911365138,False
198,5.616422,80,0.0,0.00108337968112715,False
199,5.633511,25,0.46464646464646464,0.7744599022035005,True
200,5.650033,58,0.0,0.0,False
201,5.666444,48,0.0,0.0,False
202,5.683067,36,0.0,0.0,False
203,5.700067,24,0.49363636363636365,0.8830275229357798,True
204,5.716378,14,0.0,0.0021920849301136913,False
205,5.733067,2,0.0,0.0021920849301136913,False
206,5.749878,296,0.0,0.0021870398554759696,False
207,5.766711,286,0.5044444444444445,0.8624460224840056,True
208,5.782978,274,0.0,0.007402278459626155,False
209,5.799844,264,0.0,0.006210244292482625,False
210,5.816556,254,0.0,0.0050443799204465956,False
211,5.833267,242,0.4483532219570405,0.8732394366197183,True
212,5.849789,237,0.00025943396226413284,0.0016221727845754375,False
213,5.866567,222,0.0,0.0015051482913146508,False
214,5.883656,212,0.0,0.0013990905911157592,False
215,5.899944,198,0.45123110151187906,0.8702419633984301,True
216,5.916478,186,0.0,0.09149275896336495,True
217,5.9334,176,0.0,0.09026451836219695,True
218,5.950011,164,0.0,0.08823233845844636,True
219,5.966878,107,0.4588695652173913,0.8093058604965377,True
220,5.983278,142,0.0,0.18483904465212875,True
221,6.000244,132,0.0,0.18483904465212875,True
222,6.016589,120,0.0,0.18276220145379019,True
223,6.033322,59,0.5139563106796117,0.8316617467487049,True
224,6.050444,97,0.0,0.00139386698526478,False
225,6.067122,86,0.0,0.001180032695540012,False
226,6.083556,74,0.0,0.0009621440067175691,False
227,6.100311,64,0.4926618705035971,0.9033702367477834,True
228,6.116756,52,0.0,0.0016054360812425283,False
229,6.133356,42,0.0,0.0013335145584149055,False
230,6.150211,30,0.0,0.0011068043206701184,False
231,6.166844,0,0.4590909090909091,0.8050749711649365,True
232,6.183689,8,0.0,0.014870211209088269,False
233,6.200011,0,0.0,0.016147635524798143,False
234,6.216622,292,0.0,0.01247705970020574,False
235,6.2336,280,0.4934090909090909,0.8597655063483385,True
236,6.250122,272,0.0,0.012658189743404491,False
237,6.266756,260,0.0,0.010327927285688876,False
238,6.283522,250,0.0,0.010215053763440896,False
239,6.300056,239,0.47374407582938394,0.8920086393088553,True
240,6.316767,226,0.0,0.03917459663105338,True
241,6.333644,214,0.0,0.03897142792533048,True
242,6.350167,202,0.0,0.0395521388135196,True
243,6.366944,192,0.41739872068230277,0.8773378443260867,True
244,6.383689,181,0.0,0.0314541252135464,True
245,6.4003,170,0.0,0.031342466977076544,True
246,6.416878,160,0.0,0.030304045377907318,True
247,6.433489,105,0.43327510917030565,0.8634335262724391,True
248,6.450344,142,0.00014141414141410902,0.1874965106801103,True
249,6.467144,128,0.0,0.18957335387844887,True
