frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
290,6.837867,142,0.0,0.0,False
291,6.926044,134,0.0,0.0,False
292,6.938178,134,0.0,0.0,False
293,6.953389,124,0.0,0.0,False
294,6.969911,124,0.0,0.0,False
295,6.986444,124,0.0,0.0,False
296,7.003133,112,0.0,0.0,False
297,7.020122,102,0.0,0.0,False
298,7.036578,90,0.0,0.0,False
299,7.053256,78,0.0,0.0,False
300,7.069989,68,0.0,0.0,False
301,7.086444,58,0.0,0.0,False
302,7.103189,46,0.0,0.0,False
303,7.1198,36,0.0,0.0,False
304,7.137667,24,0.0,0.0,False
305,7.154178,12,0.0,0.0,False
306,7.171022,0,0.0,0.0,False
307,7.188456,296,0.0,0.0,False
308,7.204522,284,0.0,0.0,False
309,7.221667,274,0.0,0.0,False
310,7.238267,262,0.0,0.0,False
311,7.254122,252,0.0,0.0,False
312,7.272256,242,0.0,0.0,False
313,7.288167,232,0.0,0.0,False
314,7.3043,218,0.0,0.0,False
315,7.322444,208,0.0,0.0,False
316,7.337244,198,0.0,0.0,False
317,7.353444,188,0.0,0.0,False
318,7.370556,174,0.0,0.0,False
319,7.386678,162,0.0,0.0,False
320,7.403678,152,0.0,0.0,False
321,7.420067,140,0.0,0.0,False
322,7.437911,130,0.0,0.0,False
323,7.454356,118,0.0,0.0,False
324,7.471089,106,0.0,0.0,False
325,7.488022,96,0.0,0.0,False
326,7.505189,84,0.0,0.0,False
327,7.521444,74,0.0,0.0,False
328,7.538044,64,0.0,0.0,False
329,7.554167,54,0.0,0.0,False
330,7.570822,42,0.0,0.0,False
331,7.587833,30,0.0,0.0,False
332,7.604344,18,0.0,0.0,False
333,7.622767,6,0.0,0.0,False
334,7.637689,0,0.0,0.0,False
335,7.6543,292,0.0,0.0,False
336,7.670933,282,0.0,0.0,False
337,7.687789,270,0.0,0.0,False
338,7.704611,258,0.0,0.0,False
339,7.721589,248,0.0,0.0,False
340,7.738211,238,0.0,0.0,False
341,7.7544,224,0.0,0.0,False
342,7.771433,212,0.0,0.0,False
343,7.787967,202,0.0,0.0,False
344,7.8052,190,0.0,0.0,False
345,7.821889,180,0.0,0.0,False
346,7.838556,168,0.0,0.0,False
347,7.854222,158,0.0,0.0,False
348,7.870778,146,0.0,0.0,False
349,7.887144,134,0.0,0.0,False
350,7.904,124,0.0,0.0,False
351,7.920622,112,0.0,0.0,False
352,7.937544,102,0.0,0.0,False
353,7.9548,90,0.0,0.0,False
354,7.971033,80,0.0,0.0,False
355,7.988678,70,0.0,0.0,False
356,8.004967,58,0.0,0.0,False
357,8.0209,48,0.0,0.0,False
358,8.0377,36,0.0,0.0,False
359,8.053878,26,0.0,0.0,False
360,8.070356,14,0.0,0.0,False
361,8.087344,4,0.0,0.0,False
362,8.103911,300,0.0,0.0,False
363,8.120311,288,0.0,0.0,False
364,8.1375,274,0.0,0.0,False
365,8.153644,264,0.0,0.0,False
366,8.170378,252,0.0,0.0,False
367,8.187067,242,0.0,0.0,False
368,8.207033,230,0.0,0.0,False
369,8.2207,220,0.0,0.0,False
370,8.237078,208,0.0,0.0,False
371,8.253822,196,0.0,0.0,False
